Timestamp,pCut::Motor_Torque,pCut::CTRL_Position_controller::Lag_error,pCut::CTRL_Position_controller::Actual_position,pCut::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Actual_position,pSvolFilm::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Lag_error,Replaced blade
0.895999952,-0.158277184,-0.003941536,-884309,120.1629639,11660,733.7717285,0.637958467,1
0.899999952,-0.161535934,9.15527E-05,-884308,123.5961914,11662,728.7628784,0.622812927,1
0.903999952,-0.177970305,0.006446838,-884308,120.1629639,11665,723.7540894,0.597576082,1
0.907999951,-0.152600527,-0.00415802,-884307,116.7297363,11668,743.7888184,0.559390545,1
0.911999951,-0.141119093,-0.006830215,-884307,116.7297363,11671,726.2584839,0.542241454,1
0.915999951,-0.16557616,0.002415657,-884306,113.2965088,11674,728.7627563,0.550061405,1
0.91999995,-0.178011939,0.003147125,-884306,113.2965088,11677,723.7540894,0.559959173,1
0.92399995,-0.186599031,0.003477097,-884305,99.56359863,11680,718.7455444,0.596829891,1
0.92799995,-0.140740052,-0.00879097,-884305,109.8632813,11683,718.7453613,0.638783276,1
0.93199995,-0.165343076,-0.00075531,-884305,96.13037109,11686,743.7891846,0.625641108,1
0.935999949,-0.142337397,-0.001298904,-884304,102.9968262,11689,736.276001,0.589384675,1
0.939999949,-0.16289261,-0.002031326,-884304,96.13037109,11692,738.7802734,0.560214758,1
0.943999949,-0.157385334,-0.000313759,-884303,96.13037109,11695,723.7542725,0.564028263,1
0.947999949,-0.173702672,0.002621651,-884303,85.83068848,11697,721.2498779,0.579936564,1
0.951999948,-0.180060282,0.002555847,-884303,89.26391602,11700,738.7800903,0.567796171,1
